CESU Name,Federal Agency,Fiscal Year,Award Number,Local Number,Partner,Location,Project Title,Type,Discipline,Initial Amount,Added Amount,Total Amount,Partner Principal Investigator First Name,Partner Principal Investigator Last Name,Federal Tech Rep First Name,Federal Tech Rep Last Name,Federal Project Lead First Name,Federal Project Lead Last Name,Students Involved,Sensitive Data,Description,Notes,Received Date,Reviewed Date,Approved Date,Start Date,End Date,Project Status,Awarding Office,Modification Status,Modification Number,Modification Type,Modification Approved Date,Deliverables Received,Files
Colorado Plateau (COPL),National Park Service,2002,NAU-065,,Northern Arizona University,CACH,Floristic Inventory of Canyon de Chelley,Technical Assistance,Natural,"$4,143.00",$0.00,"$4,143.00",Tina,Ayers,Scott,Travis,,,Yes,No,,,,,,5/1/01,5/31/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-066,,Northern Arizona University,WACA,Geologic Mapping,Research,Natural,"$25,000.00",$0.00,"$25,000.00",Michael,Ort,,,,,No,No,,,,,,9/1/02,5/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-067,,Northern Arizona University,SUCR| WACA| WUPA| CACH| GRCA,Backlog Cataloging of Herbarium Specimens,Technical Assistance,Natural,"$13,000.00",$0.00,"$13,000.00",Andrea,Hunter,Ron,Hiebert,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,7/15/02,8/15/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-068,,Northern Arizona University,SCPN,Vertebrates/Vascular Plants of Southern Colorado Plateau,Technical Assistance,Natural,"$76,315.00",$0.00,"$76,315.00",Rod,Parnell,Anne,Cully,,,No,No,,,,,,8/1/02,10/1/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-069,,Northern Arizona University,NAVA,EthNobotany of Shonto Plateau,Research,Cultural,"$11,800.00",$0.00,"$11,800.00",Gary,Nabhan,Rose,James,,,No,No,,Closed per Patty West,,,,5/20/02,5/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-070,,Northern Arizona University,GRCA,Grand Canyon Springs/Ecosystems Coupled Models,Research,Natural,"$40,000.00",$0.00,"$40,000.00",Abraham,Springer,Ken,Weber,,,No,No,,,,,,8/1/02,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-071,,Northern Arizona University,SCPN| NCPN,Inventory of Reptiles & Amphibians in Parks of the SCPN & NCPN,Research,Natural,"$6,315.00",$0.00,"$6,315.00",Rod,Parnell,Angie,Evenden,,,No,No,,,,,,9/1/02,9/1/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-072,,Northern Arizona University,ELMA,Study of Burrowing Animals & Their Impact to Archeological Sites,Research,Interdisciplinary,"$8,900.00",$0.00,"$8,900.00",David,Ostergren,James,Kendrick,,,No,No,,,,,,9/1/02,5/31/07,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-073,,Northern Arizona University,FLAG,Architectural Mapping & Three Dimensional Laser Scanning of Selected Archeological Sites at WACA & WUPA,Technical Assistance,Cultural,"$69,580.00",$0.00,"$69,580.00",Christian,Downum,Al,Remley,,,No,No,,"same Final product as NAU 130, mapping submitted on 7 discs",,,,7/15/02,10/30/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-074,,Northern Arizona University,AZRU,Visitor Survey for AZRU,Research,Social,"$16,524.00",$0.00,"$16,524.00",Martha,Lee,Stephanie,Dubois,,,No,No,,Activation missing from files.,,,,9/30/02,5/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-075,,Northern Arizona University,GLCA,Reptile & Amphibian Inventories (Herpetological Inventory),Technical Assistance,Natural,"$12,441.00",$0.00,"$12,441.00",Rod,Parnell,Ron,Hiebert,,,No,No,,Closed per Ron Hiebert,,,,9/15/02,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-076,,Northern Arizona University,CHIS,Santa Cruz Island Feral Pig Pre-Eradication Ecological Monitoring Project,Research,Natural,"$201,000.00",$0.00,"$201,000.00",Charles,Drost,Steve,Ortega,,,No,No,,,,,,9/1/02,7/1/07,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-077,,Northern Arizona University,SUCR,Assessment Management-Ignited Fire Effects Upon Vegetation & Soils of Bonito Park,Research,Natural,"$4,577.00",$0.00,"$4,577.00",Thomas,Sisk,Ron,Hiebert,,,No,No,,,,,,9/1/02,3/1/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-079,,Northern Arizona University,NPS,Tools for Managing Invasive Plants on Public Lands,Research,Natural,"$23,638.00",$0.00,"$23,638.00",Thomas,Sisk,Ron,Hiebert,,,No,No,,,,,,9/1/02,12/31/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-081,,Northern Arizona University,GOGA,NPS Golden Gate Recreational Area Study,Research,Social,"$1,800.00",$0.00,"$1,800.00",Fred,Solop,Michael,Savidge,,,No,No,,Final Report,,,,7/1/02,8/30/02,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-082,,Northern Arizona University,GOGA,ANPR Public Comment Evaluation,Technical Assistance,Social,"$2,000.00",$0.00,"$2,000.00",Fred,Solop,Michael,Savidge,,,No,No,,Final Report,,,,8/1/02,10/1/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-083,,Northern Arizona University,WUPA,Assessment of Declining Grassland Whiptail Lizard,Research,Natural,"$3,600.00",$0.00,"$3,600.00",Rod,Parnell,Paul,Whitefield,,,No,No,,,,,,5/1/02,3/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NAU-084,,Northern Arizona University,SUCR,Assess Vegetation Succession & Disturbance Impacts,Research,Natural,"$16,000.00",$0.00,"$16,000.00",Tom,Whitham,Anne,Cully,,,No,No,,,,,,9/1/02,3/31/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NMSU-001,,New Mexico State University,CAVE,EthNographic Literature Review & Assessment,Research,Cultural,"$15,000.00",$0.00,"$15,000.00",Richard,Hendricks,Neta,Fernandez,,,No,No,,,,,,8/15/02,8/15/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NMSU-002,,New Mexico State University,CACH,Rock Image Condition Assessment Documentation,Research,Cultural,"$35,000.00",$0.00,"$35,000.00",Larry,Loendorf,Neta,Fernandez,,,No,No,,,,,,8/1/02,10/1/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NN-02,NN-02,Navajo Nation,CACH| HUTR| NAVA,"Inventory of Plants, Reptiles, Amphibians, Birds & Mammals",Technical Assistance,Natural,"$62,045.00",$0.00,"$62,045.00",Jeff,Cole,Anne,Cully,,,No,No,,3 of 3 final reports received and submitted,,,,5/1/02,9/30/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,NNAD-03,NNAD-03,Navajo Nation,WACA,Archaeological Inventory Survey,Technical Assistance,Interdisciplinary,"$45,999.00",$0.00,"$45,999.00",Miranda,Warburton,Al,Remley,,,No,No,,,,,,9/1/02,10/1/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,USU-002,USU-002,Utah State University,DINo,Inventory of TES Plant & Invasive Non-Native Plants in the Green River District UT,Technical Assistance,Natural,"$72,739.00",$0.00,"$72,739.00",Steve,Dewey,Angie,Evenden,,,No,No,,The original award amount for this award is Not the Yes initial award but the amount updated on 11-06-06 by Theresa Spang. This project is also listed under USU-004,,,,4/1/02,1/20/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,USU-003,USU-003,Utah State University,CARE,"Integrated Pest Management, T&E Plant Pollinators",Research,Natural,"$61,000.00",$0.00,"$61,000.00",Diane,Alston,Tom,Clark,,,Yes,No,,,,,,4/1/02,12/31/02,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,USU-004,USU-004,Utah State University,DINo,Inventory of TES Plant & Invasive Non-Native Plants in the Green River District UT,Technical Assistance,Natural,"$72,739.00",$0.00,"$72,739.00",Steve,Dewey,Angie,Evenden,,,No,No,,The original award amount for this award is Not the Yes initial award but the amount updated on 11-06-06 by Theresa Spang. This project is also listed under USU-002,,,,4/1/02,1/20/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2002,USU-005,USU-005,Utah State University,DINo,Invasive Plant Mgmt. & Restoration Plan for the Cub Creek Watershed,Technical Assistance,Natural,"$23,000.00",$0.00,"$23,000.00",Christopher,Call,Tamara,Naumann,,,No,No,,,,,,8/1/02,1/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030428,NAU-100,Northern Arizona University,SCPN,Vertebrates & Vascular Plants,Research,Natural,"$3,508.00",$0.00,"$3,508.00",,,Lisa,Thomas,,,No,No,,"Closed per Trinkle Jones.  Final report pending as of 8/2008.  Final report was submitted to TIC in error as associated with NAU-099 and NAU -143, PER Lisa Thomas, this award was Not related to NAU-143 and 99 but to NAU-015 (and all those listed in the continuation field).  The report submitted with those awards also closes 100.",,,,7/1/00,10/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030415,NAU-093,Northern Arizona University,SCPN| NCPN,Inventory of Reptiles & Amphibians,Research,Natural,"$21,131.00",$0.00,"$21,131.00",Rod,Parnell,Lisa,Thomas,,,No,No,,Sent to TIC as NN-04 which is incorrect.  Not resubmitting because it contains sensitive data.,,,,4/1/03,7/1/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030421,USU-006,Utah State University,PARA,Identification & Characterization of Relict & Unique Vegetation,Technical Assistance,Natural,"$28,917.00",$0.00,"$28,917.00",Leila,Schultz,Kari,Yanskey,,,No,No,,The original award amount for this award is Not the Yes initial award but the amount updated on 11-06-06 by Theresa Spang. This project also listed under USU-019,,,,4/1/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030422,ASU-004,Arizona State University,PARA,Baseline Investigations of Lichens & Bryophytes,Research,Natural,"$30,000.00",$0.00,"$30,000.00",Thomas,Nash,Kari,Yanskey,,,No,No,,,,,,5/1/03,5/31/07,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030424,NAU-096,Northern Arizona University,TONT,Nuisance Rattlesnake Movements & Behavior,Research,Natural,"$19,952.00",$0.00,"$19,952.00",Rod,Parnell,Shirley,Hoh,,,No,No,,,,,,4/1/03,3/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030427,NAU-102,Northern Arizona University,PEFO,Weed Inventory & Mapping Project,Research,Natural,"$13,685.00",$0.00,"$13,685.00",Gary,Nabhan,Pam,Benjamin,,,No,No,,,,,,6/1/03,5/15/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030431,NAU-101,Northern Arizona University,WACA| WUPA,Inventory of Mammals,Technical Assistance,Natural,"$8,826.00",$0.00,"$8,826.00",Gary,Nabhan,Anne,Cully,,,No,No,,8/01/06 PER LYNELL ACCT BALANCE= $0.,,,,8/1/02,12/31/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030432,NAU-099,Northern Arizona University,GLCA,Inventory of the Vascular Plant Flora of Glen Canyon NRA,Research,Natural,"$25,000.00",$0.00,"$25,000.00",Tina,Ayers,Anne,Cully,,,Yes,No,,,,,,6/1/03,8/1/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030433,NAU-104,Northern Arizona University,YUHO,Inventory of Birds,Technical Assistance,Natural,"$7,889.00",$0.00,"$7,889.00",Gary,Nabhan,Anne,Cully,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,7/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030434,NAU-103,Northern Arizona University,SCPN,Inventory of Reptiles & Amphibians,Research,Natural,"$5,389.00",$0.00,"$5,389.00",Gary,Nabhan,Anne,Cully,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,4/1/01,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030435,NAU-106,Northern Arizona University,SCPN,Vegetation Mapping in National Parks & Monuments,Research,Natural,"$316,752.00",$0.00,"$316,752.00",David,Ostergren,Anne,Cully,,,No,No,,MEVE report received Dec 2009 3 of 3 received,,,,6/1/03,6/15/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030438,CSU-067,Colorado State University,IMDE,Perform Field Evaluations of Various Remote Sensing Techniques in Identifying Tamarisk,Research,Natural,"$20,000.00",$0.00,"$20,000.00",Thomas,Stohlgren,Pam,Benjamin,,,No,No,,,,,,6/25/03,1/15/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030439,NN-004,Navajo Nation,SCPN,"Inventory of Plants, Reptiles, Amphibians, Birds & Mammals",Technical Assistance,Natural,"$53,131.00",$0.00,"$53,131.00",Jeff,Cole,Anne,Cully,,,No,No,,Series of reports received and submitted. Admin and Tech closed,,,,7/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030459,NAU-114,Northern Arizona University,NPS,Development of a Decision Support Tool for Prioritizing Sites for Weed Control & Restoration,Research,Natural,"$84,572.00",$0.00,"$84,572.00",Rod,Parnell,Lisa,Thomas,,,No,No,,Closed per Ron Hiebert- 5/30/08 see NAU 147 (con't) for Final Report,,,,8/1/03,12/30/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030488,NAU-120,Northern Arizona University,SCPN,Nomination & Evaluation of Candidate Faunal  Species,Technical Assistance,Natural,"$20,010.00",$0.00,"$20,010.00",Rod,Parnell,Lisa,Thomas,,,No,No,,,,,,9/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030489,NAU-121,Northern Arizona University,SCPN,Vertebrates/Vascular Plants of Southern Colorado Plateau,Technical Assistance,Natural,"$80,289.00",$0.00,"$80,289.00",Gary,Nabhan,Lisa,Thomas,,,No,No,,,,,,9/1/03,12/1/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030505,USU-008,Utah State University,GLCA,Rangeland Applied Studies Program Ecological Applications for Land Managers,Educational,Natural,"$3,162.00",$0.00,"$3,162.00",Allen,Rasmussen,Ron,Hiebert,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,5/1/03,9/30/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1242030506,NAU-119,Northern Arizona University,CPCESU,Establish Cooperative Ecosystem Studies Unit Office,Technical Assistance,Interdisciplinary,"$11,500.00",$0.00,"$11,500.00",Rod,Parnell,Ron,Hiebert,,,No,No,,Closed per Ron Hiebert 5/30/08,,,,10/1/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,124203JR01,CSU-086,Colorado State University,CANY,Continuation of Larval Fish Cataloging,Technical Assistance,Natural,"$10,900.00",$0.00,"$10,900.00",Darrell,Snyder,Linda,Clement,,,No,No,,,,,,11/1/03,5/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1344030050,NAU-117,Northern Arizona University,SCPN| NCPN,"Development & Testing of Conceptual Models & Protocols for Classification, I&M of CP Spring Ecosystems",Research,Natural,"$45,000.00",$0.00,"$45,000.00",Abraham,Springer    ,Angie,Evenden,,,No,No,,,,,,8/1/03,8/15/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1344030051,NAU-118,Northern Arizona University,SCPN| NCPN,2004 Field Inventory of Springs & Seeps,Research,Natural,"$80,000.00",$0.00,"$80,000.00",Abraham,Springer,Angie,Evenden,,,No,No,,,,,,9/1/03,2/25/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1404030011,USU-011,Utah State University,DINo,Invasive Plant Mgmt. & Restoration Plan for the Cub Creek Watershed,Technical Assistance,Natural,"$25,000.00",$0.00,"$25,000.00",Christopher,Call,Tamara,Naumann,,,No,No,,,,,,8/1/02,1/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1404030012,USU-009,Utah State University,DINo,The Role of Riparian Vegetation in Determining  Channel Form Along the Green River,Research,Natural,"$23,000.00",$0.00,"$23,000.00",Jack,Schmidt,Tamara,Naumann,,,No,No,,,,,,8/1/03,7/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1404030013,USU-010,Utah State University,DINo,Inventory of TES Plant & Invasive Non-Native Plants Yampa River District,Technical Assistance,Natural,"$72,739.00",$0.00,"$72,739.00",Steve,Dewey,Tamara,Naumann,,,No,No,,The original award amount for this award is Not the Yes initial award but the amount updated on 11-06-06 by Theresa Spang. This project also listed under USU-003 and USU-004,,,,6/1/03,1/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030318,NAU-095,Northern Arizona University,GLCA,Reptile & Amphibian Inventories,Technical Assistance,Natural,"$25,000.00",$0.00,"$25,000.00",Gary,Nabhan,John,Spence,,,No,No,,8/2008 If open: PI is Hiebert,,,,9/15/02,3/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030378,NAU-105,Northern Arizona University,GLCA,Hanging Garden Endemics,Research,Natural,"$30,004.00",$0.00,"$30,004.00",Tina,Ayers,John,Spence,,,Yes,No,,guarantee of funds from BIO 2401,,,,6/1/03,8/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030379,NAU-107 (mod 3),Northern Arizona University,GLCA,Faunal Inventory of Selected GLCA Springs in AZ & UT,Research,Natural,"$59,983.00",$0.00,"$59,983.00",Stephen,Shuster,John,Spence,,,No,No,,guarantee of funds from BIO 2401,,,,6/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030404,NAU-109,Northern Arizona University,GLCA,Plesiosaur Excavations & Late Cretaceous Paleontological Research,Research,Natural,"$15,001.00",$0.00,"$15,001.00",David,Gillette,John,RiteNour,,,No,No,,,,,,7/1/03,12/31/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030405,NAU-108,Northern Arizona University,GLCA,Paleontology Resource Management Plan,Technical Assistance,Natural,"$18,000.00",$0.00,"$18,000.00",David,Gillette,Lex,Newcomb,,,No,No,,,,,,7/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030704,NAU-128,Northern Arizona University,GLCA,Ruins Assessment,Technical Assistance,Cultural,"$27,468.00",$0.00,"$27,468.00",Christian,Downum,Chris,Kincaid,,,No,No,,,,,,9/2/03,5/30/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1440030711,USU-012,Utah State University,GLCA,Fire Management Plan Environmental Assessment Preparation,Technical Assistance,Natural,"$36,888.00",$0.00,"$36,888.00",Mark,Brunson,John,Spence,,,No,No,,The original award amount for this award is Not the Yes initial award but the amount updated on 11-06-06 by Theresa Spang.,,,,9/25/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1490030530,NAU-111,Northern Arizona University,MEVE,Determine Protected Area Centers for Mexican Spotted Owls,Research,Natural,"$22,000.00",$0.00,"$22,000.00",Rod,Parnell,George,San Miguel,,,No,No,,,,,,3/1/04,12/31/06,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1521030103,CSU-076,Colorado State University,ROMO,Effects of Grand Ditch Breakage on the Colorado River Valley Near LuLu City,Research,Natural,"$14,776.00",$0.00,"$14,776.00",David,Cooper,Karl,Cordova,,,No,No,,,,,,7/31/03,2/28/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1526035251,CSU-066,Colorado State University,ROMO,Vegetation Mapping & Classification,Technical Assistance,Natural,"$71,663.00",$0.00,"$71,663.00",Joe,Stevens,Jeff,ConNor,,,No,No,,,,,,8/1/03,8/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1526035567,CSU-082,Colorado State University,ROMO,Effects of Grand Ditch  Breakage on the Colorado River Near Shipler Park,Research,Natural,"$14,776.00",$0.00,"$14,776.00",David,Cooper,Karl,Cordova,,,No,No,,,,,,9/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,1526D5269,NMSU-003,New Mexico State University,ROMO,"Determining Nutritional Influences on American Black Bear Body Condition, Survival & Productivity",Research,Natural,"$64,975.00",$0.00,"$64,975.00",Louis,Bender,Terry,Terrell,,,Yes,No,,,,,,5/15/03,3/31/07,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-01,,Colorado State University,BRMD,Maintain the NPS's Threatened & Endangered Species Database,Technical Assistance,Natural,"$83,000.00",$0.00,"$83,000.00",Joe,Stevens,Loyal,Mehrhoff,,,No,No,,electronic version received. No hard copies.,,,,10/30/02,9/30/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-06,,Colorado State University,WRD| LAVO,Restoration of Drakesbad Meadow,Technical Assistance,Natural,"$25,000.00",$0.00,"$25,000.00",David,Cooper,Joel,Wagner,,,No,No,,continued as TO 04-13,,,,5/1/01,5/13/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-07,,Colorado State University,BRMD,Alien Plant Control and Management Database,Technical Assistance,Natural,"$179,239.00",$0.00,"$179,239.00",Jim,Loftis,Loyal,Mehrhoff,,,No,No,,3/26/07 2004 ANNUAL REPORT RECEIVED.,,,,7/1/03,6/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-08,,Colorado State University,WRD| PEFO,Stream & Riparian Characterization & Analysis,Research,Natural,"$26,100.00",$0.00,"$26,100.00",David,Cooper,Joel,Wagner,,,No,No,,,,,,4/15/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-09,,Colorado State University,WRD,"Restore the Snake River Gravel Pit, John D. Rockefeller, Jr. Memorial Parkway to a Self-Sustaining Riparian Ecosystem",Technical Assistance,Natural,"$60,000.00",$0.00,"$60,000.00",David,Cooper,Joel,Wagner,,,No,No,,,,,,4/15/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-10,,Colorado State University,WRD| SAGU,"Hydrologic Investigations in Support of Instream Water Right Application, Rincon Creek, SAGU",Research,Natural,"$98,500.00",$0.00,"$98,500.00",Michelle,Zimmerman,Paul,Christensen,,,No,No,,,,,,8/1/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-11,,Colorado State University,WRD,"Establishing the Status & Trends of Impaired, Threatened, & Outstanding National/State Resource Waters in the NP System",Research,Natural,"$200,000.00",$0.00,"$200,000.00",Jim,Loftis,Dean,Tucker,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,6/1/01,9/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-12,,Colorado State University,WRD,"Establishing the Status & Trends of Impaired, Threatened, & Outstanding National/State Resource Waters in the NP System",Research,Natural,"$200,000.00",$0.00,"$200,000.00",Jim,Loftis,Dean,Tucker,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,6/1/02,9/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-13,,Colorado State University,WRD,"Synthesis, Digitization, & Analysis of Clean Water Act Impairments & Use Designations for NP System Water Resources",Research,Natural,"$60,600.00",$0.00,"$60,600.00",Jim,Loftis,Dean,Tucker,,,No,No,,Closed per Ron Hiebert. Contact Key Official for more info.,,,,6/1/02,9/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-14,,Colorado State University,WRD| SAGU,"Biologic & Hydrologic Investigations in Support of Instream Water Right Application, Rincon Creek, SAGU (Riparian Vegetation & Herpetofauna)",Research,Natural,"$25,700.00",$0.00,"$25,700.00",Michelle,Zimmerman,Mark,Wondzell,,,No,No,,,,,,8/1/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-15,,Colorado State University,WRD| SAGU,"Biologic & Hydrologic Investigations in Support of Instream Water Right Application, Rincon Creek, SAGU (Macroinvertebrates)",Research,Natural,"$17,900.00",$0.00,"$17,900.00",David,Walker,Bill,Hansen,,,No,No,,,,,,8/1/03,12/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2003-16/ 2004-16,,Colorado State University,WRD| ISRO,An Integrated Assessment of the Effects of Polycyclic Aromatic Hydrocarbons (PHA's) in Aquatic Communities in the Isle Royale NP,Research,Natural,"$49,500.00",$0.00,"$49,500.00",William,Clements,Roy,Irwin,,,No,No,,Shows association with J2380402416 on Mod 002 Purchase request.,,,,7/15/03,7/14/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2011030737,ASU-005,Arizona State University,MOCA| TUZI,2003-2004 Visitor Use Study,Research,Cultural,"$5,000.00",$0.00,"$5,000.00",Dave,White,Kerri,Cahill,,,No,No,,,,,,6/30/03,9/15/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2011030786,ASU-006,Arizona State University,ALFL| LAMR,2003-2004 Visitor Use Study,Research,Cultural,"$5,000.00",$0.00,"$5,000.00",Dave,White,Kerri,Cahill,,,No,No,,,,,,7/1/03,9/15/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2011030914,ASU-008,Arizona State University,ALFL| LAMR,2003-2004 Visitor Use Study,Research,Cultural,"$32,375.00",$0.00,"$32,375.00",Dave,White,Kerri,Cahill,,,No,No,,,,,,7/1/03,8/31/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2128030009,NAU-091,Northern Arizona University,DEVA,Inventory of Amphibians,Research,Natural,"$23,666.00",$0.00,"$23,666.00",Gary,Nabhan,Bob,Truitt,,,No,No,,,,,,5/1/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2128030009,NAU-088,Northern Arizona University,DEVA| MANZ,Inventory of Reptiles & Survey of Amphibians,Research,Natural,"$22,434.00",$0.00,"$22,434.00",Gary,Nabhan,Bob,Truitt,,,No,No,,,,,,5/1/02,7/1/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2128030013,NAU-092,Northern Arizona University,MOJA| GRBA| LAME,Baseline Assessment of Inventory Bird Species & Review of NP Species Database,Research,Natural,"$10,840.00",$0.00,"$10,840.00",Gary,Nabhan,Bob,Truitt,,,No,No,,,,,,9/1/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2370030059,CSU-057,Colorado State University,NPS,Inventory & Monitoring Natural Resources Status & Trends,Technical Assistance,Natural,"$619,472.00",$0.00,"$619,472.00",Jim,Loftis,Lisa,Nelson,,,No,No,,,,,,3/1/03,9/30/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2370030060,CSU-056,Colorado State University,NRPC,Guidance & Technical Support to NRPC,Technical Assistance,Natural,"$286,493.00",$0.00,"$286,493.00",Jim,Loftis,Marianne,Tucker,,,No,No,,,,,,1/1/03,9/30/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2370030079,CSU-058,Colorado State University,ROMO,MiNority Visitor Use Patterns,Technical Assistance,Natural,"$1,500.00",$0.00,"$1,500.00",Donald,Rodriguez,Terry,Terrell,,,No,No,,,,,,1/1/03,6/1/03,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2370030145,CSU-061,Colorado State University,NRPC,Guidance & Technical Support to NRPC,Technical Assistance,Natural,"$33,000.00",$0.00,"$33,000.00",Jim,Loftis,Jen,Coffey,,,No,No,,,,,,5/31/03,9/30/04,,,,,,,,
Colorado Plateau (COPL),National Park Service,2003,2370030146,CSU-062,Colorado State University,NRPC,Guidance & Technical Support to NRPC,Technical Assistance,Natural,"$144,760.00",$0.00,"$144,760.00",Jim,Loftis,Marianne,Tucker,,,No,No,,,,,,1/1/03,9/30/04,,,,,,,,
