Federal Partner,FY,J Number,Award Number,Continuation of,Partner,Park/Location,Project Title,Key Official (last),Key Official (first),Investigator-L,Investigator-F,Start Date,Stop Date,Project Discipline,Partner Award,Match Amount,Award Amount,Current Funding Amount,Original Award Total,Annual Research & Design Rpt Code,CA Account Number,Account Number,Area/Org,Ext 1,Ext 2,Ext 3,PWE,Description,Fund Source,Project Product,Received,Sent to TIC,Notes,Electronic Version Received,Mod .1 Date,Mod .1 Amount,mod 1 match,Mod .1 Notes,Mod .2 Date,Mod .2 Amount,mod 2 match,Mod .2 Notes,Mod .3 Date,Mod .3 Amount,mod 3 match,Mod .3 Notes,Mod .4 Date,Mod .4 Amount,mod 4 match,Mod .4 Notes,Mod .5 Date,Mod .5 Amount,mod 5 match,Mod .5 Notes,Mod .6 Date,Mod .6 Amount,mod 6 match,Mod .6 Notes,Project Type,project supported students,Student Status,Sensitive Data,Funding Amount,NPS Closed,Principle Investigator Name,Key Official Name
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0037,,Colorado State University (CSU),,Gerstle Moose Study for Fort Wainwright,,,Bagley,Calvin,,,,$0.00 ,$0.00 ,"$47,360.00 ","$47,360.00 ","$47,360.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
Bureau of Land Management (BLM),2011,,L10AC20079,,Mesa State College (MSC),,BLM-CO-MCNCA Undergraduate Intern NLCS Monitoring and Research at McInnis Canyons NRA,,,Minnick,Tamera,2010-05-24 00:00,2015-05-22 00:00,,$0.00 ,$0.00 ,"$7,400.00 ","$7,400.00 ","$7,400.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
National Park Service (NPS),2006,2360064059,2360064059,,Northern Arizona University (NAU),GRD,Digital Bedrock Geologic Map Compilation at Organ Pipe Cactus National Monument,Heise,Bruce,Blakey,Ronald,2006-06-15 00:00,2007-03-01 00:00,Natural,,,"$33,519.00 ","$33,519.00 ",,0,CA2380040002,2360-0001-NII,,,,,NII,,,Final Report,,,"Geologic Resource Division Additional Contact: Paul Umhoefer               WASO lists this J under TO 06-05  MOD for $5,529 dated 11/30/07",0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Ronald Blakey,Bruce Heise
National Park Service (NPS),2006,2370053049 Mod 05/01/2006,2370053049 Mod 1,,Colorado State University (CSU),NRIS,"Software Engineering Research and Support for the National Park Service, Office of Natural Resource Information Systems",Goddard,Tim,Loftis,Jim,2006-09-30 00:00,2008-06-30 00:00,Natural,,,"$268,818.00 ","$268,818.00 ",,0,H2380040002,MULTI,,,,,MULTI,,,Final Report,5/19/2008,6/2008,"2370-0002-NDY=$11,379
2301-6121-NNS=$40,000
2340-0001-NYA=$10,000
2370-2005-454=$20,000
2310-0022-422=$187,439",0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Jim Loftis,Tim Goddard
National Park Service (NPS),2006,,CDA-002,,Archaeology Southwest (ASW) (Formerly The Center for Desert Archaeology),ELMA,"Archaeological Survey of the North Stair-Step, Elk Meadow, Properties Unit, Laguna Tank, Jeep Camp, Dog Patch, and South Stair Step Prescribed Burn Units, El Malpais National Monument",Kendrick,Jim,Doelle,William,2006-08-21 00:00,2007-09-30 00:00,Cultural,,,"$23,500.00 ","$23,500.00 ",,0,H1200040002,7150-STEP-H13,,,,,H13,,,Final Report,,,Looks like no reports were ever received.,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,William Doelle,Jim Kendrick
National Park Service (NPS),2006,,CDA-003,CDA-004 CDA-007,Archaeology Southwest (ASW) (Formerly The Center for Desert Archaeology),ELMO,"Laser Imaging of the Inscriptions at El Morro National Monument, Years 1 (in full) and 2 (in part) of 3 Years Total",Kendrick,Jim,Doelle,William,2006-09-25 00:00,2007-09-01 00:00,Cultural,,,"$40,000.00 ","$40,000.00 ",,0,H1200040002,7410-0630-CCA,,,,,CCA,,,Final Report,Aug-12,Apr-13,"Funds expended per  Lwright 6/09
Single reports submitted for CDA-03, 04 and 07.",1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,William Doelle,Steve Baumann
National Park Service (NPS),2006,8826060013,CSUCP-112,,Colorado State University (CSU),YOSE,"Modeling Groundwater at Doghouse Meadow, Yosemite National Park",Meyer,Joe,Sanford,Bill,2005-12-01 00:00,2006-01-30 00:00,Natural,,,"$11,011.00 ","$11,011.00 ",,0,H1200040002,8826-4011-M7B,,,,,M7B,,,Final Report,3/07/2007,03/30/07,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Bill Sanford,Joe Meyer
United States Department of Agriculture - Natural Resources Conservation Service (USDA-NRCS),2011,,68-7482-10-537,,Utah State University (USU),,Using LabSpec 2500,,,Boettinger,Janis,2010-10-01 00:00,2011-03-31 00:00,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
United States Department of Agriculture - Natural Resources Conservation Service (USDA-NRCS),2011,,68-7482-9-528,,Utah State University (USU),,Map Evaluation,,,Boettinger,Janis,2009-09-01 00:00,2010-10-30 00:00,,$0.00 ,$0.00 ,"$34,701.00 ","$34,701.00 ","$34,701.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
National Park Service (NPS),2006,1378050007,CSUCP-116,CSUCP-102,Colorado State University (CSU),COLM,Catalog 4500 Moth and Butterly Specimens Collected at Colorado National Monument (Yr. 2 of 2),Rodeffer,Tef,Opler,Paul,2005-10-01 00:00,2010-06-01 00:00,Interdisciplinary,,,"$12,425.00 ","$12,425.00 ",,0,H1200040002,1378-CECP-RYY,,,,,RYY,,,,Aug-11,Mar-12,David Price is a temporary Key Official whose position may be left vacant for a time. 3/24/08.  NCE rqst rcvd by ATJ 1/28 -see hard copy file.,1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Paul Opler,Tef Rodeffer
National Park Service (NPS),2006,8100060135,UAZCP-024,,University of Arizona (UAZ),WACC,Implement Corrective Action Plan for Park Collections at WACC,Rodeffer,Tef,Grindell,Beth,2006-05-31 00:00,2008-09-30 00:00,Cultural,,,"$5,958.00 ","$5,958.00 ",,0,H1200040002,8105-0402-CZC,,,,,CZC,,,Final Report,Dec-08,Apr-09,Funds expended per Lynell,1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Beth Grindell,Tef Rodeffer
National Park Service (NPS),2006,8100060133,UAZCP-025,,University of Arizona (UAZ),DINO,Catalog Archives,Rodeffer,Tef,Lomawaima,Hartman,2006-05-31 00:00,2008-03-31 00:00,Cultural,,,"$17,999.00 ","$17,999.00 ",,0,H1200040002,1400-0665-UOC,,,,,UOC,,,Final Report,6/2008,Dec-08,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Hartman Lomawaima,Tef Rodeffer
National Park Service (NPS),2006,8100060197,UAZCP-040,,University of Arizona (UAZ),PEFO,Catalog Historic Concession Records from Petrified Forest National Park,Mitchell,Lynn,Lomawaima,Hartman,2006-08-01 00:00,2008-09-30 00:00,Interdisciplinary,,,"$19,509.00 ","$19,509.00 ",,0,H1200040002,8430-0665-UOC,,,,,UOC,,,Final Report,3/2008,6/2008,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Hartman Lomawaima,Lynn Mitchell
National Park Service (NPS),2006,8100060227,UAZCP-041,,University of Arizona (UAZ),WACC,Move Archives and Storage Equipment at the Western Archeological and Conservation Center,Beckwith,Kim,Lomawaima,Hartman,2006-09-15 00:00,2007-12-31 00:00,Cultural,,,"$6,912.00 ","$6,912.00 ",,0,H1200040002,8101-2003-C2C,,,,,C2C,,,Final Report,3/2008,6/2008,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Hartman Lomawaima,Kim Beckwith
National Park Service (NPS),2006,8100060201,UAZCP-042,,University of Arizona (UAZ),WACC,Coordinate Duplication of Western Archeological and Conservation Center Recordings,Mitchell,Lynn,Lomawaima,Hartman,2006-07-31 00:00,2007-12-31 00:00,Cultural,,,"$4,192.00 ","$4,192.00 ",,0,H1200040002,8105-0630-CCC,,,,,CCC,,,Final Report,12/2007,12/2007,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Hartman Lomawaima,Lynn Mitchell
National Park Service (NPS),2006,8100060223,UAZCP-043,,University of Arizona (UAZ),WACC,"Update Western Archeological and Conservation Center Archives, Manuscripts, and Photographs Processing Handbook",Mitchell,Lynn,Lomawaima,Hartman,2006-08-15 00:00,2006-12-31 00:00,Cultural,,,"$3,800.00 ","$3,800.00 ",,0,H1200040002,8101-0400-SDT,,,,,SDT,,,Final Report,12/2007,12/2007,,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Hartman Lomawaima,Lynn Mitchell
National Park Service (NPS),2006,8100060215,UAZCP-051,,University of Arizona (UAZ),BIA,Provide Curation Assistance for and Access to Bureau of Indian Afgfairs Collections at the Western Archeological and Conservation Center,Beckwith,Kim,Grindell,Beth,2006-08-15 00:00,2008-09-30 00:00,Cultural,,,"$2,000.00 ","$2,000.00 ",,0,H1200040002,8105-0405-CZY,,,,,CZY,,,Final Report,Nov-08,Jan-09,,1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Beth Grindell,Kim Beckwith
National Park Service (NPS),2006,149606NR35,NAU-218,,Northern Arizona University (NAU),MEVE,Monitoring Mexican Spotted Owl Occupancy at Mesa Verde National Park in 2006,San Miguel,George,Ostergren,David,2006-05-01 00:00,2007-01-15 00:00,Natural,,,"$4,008.00 ","$4,008.00 ",,0,H1200040002,1496-1000-NZY,,,,,NZY,,,Final Report,,,No reports ever received. Project closed by IMR Contracting on 3-22-2011.,0,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,David Ostegren,George San Miguel
National Park Service (NPS),2006,8601060313,NAU-246,,Northern Arizona University (NAU),TONT,Architectural Analysis Prior to Invasive Preservation Work at Three Primary Cliff Dwellings in Tonto National Monument,Hubbard,Duane,Downum,Chris,2006-09-01 00:00,2010-09-30 00:00,Cultural,,,"$116,264.00 ","$116,264.00 ","$60,010.00 ",0,H1200040002,MULTI,ANT35TM,,,,MULTI,,,Final Report,Jun-12,Oct-12,"8680-0640-CMS=$14,000.00
8680-6103-C2A=$46,010.00
Funds expended per Lynell- see NCE for NAU-246
Report submitted covers both NAU-232 and NAU-246.",1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Chris Downum,Duane Hubbard
National Park Service (NPS),2006,747006QSE1,NAU-233,,Northern Arizona University (NAU),CP PARK UNITS,Catalog Northern Arizona University Quaternary Sciences program (QSP) Specimens from Six (6) NPS Units on the Colorado Plateau and Inventory Entire Collection from Sixteen (16) NPS Colorado Plateau Units,Gallenstein,Gwenn,Mead,Jim,2006-09-01 00:00,2007-05-01 00:00,Interdisciplinary,,,"$14,981.00 ","$14,981.00 ",,0,H1200040002,MULTI,,,,,MULTI,,,Final Report,6/13/08,6/2008,"7470-0531-CCH=$5.000.00
7470-CECP-RYY=$9,981.00",1,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Jim Mead,Gwenn Gallenstein
National Park Service (NPS),2005,2380401401,Jan-04,,Washington Support Office (WASO),MULT,"Establishing the Status and Trends of Impaired, Threatened and Outstanding National State Resource Waters in the National Park System",Tucker,Dean,Loftis,Jim,2004-09-01 00:00,2006-09-01 00:00,natural,,,"$32,000.00 ","$32,000.00 ",,,,,,2007-09-30 00:00,,,,,,,see notes,,"CSU 5-31746
-3/26/07 2005 ANNUAL REPORT RECEIVED.",0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Jim Loftis,Dean Tucker
National Park Service (NPS),2005,1470050627,FLC-001,,Fort Lewis College (FLC),GRSA,Archaeological Inventory for Baca Land Exchange,Wells,Susan,Charles,Mona,2005-07-01 00:00,2009-06-30 00:00,cultural,,,"$125,002.00 ","$125,002.00 ",,3,H1200040002,1470-0530-CCA,,2006-10-31 00:00,2007-05-31 00:00,2007-12-31 00:00,CCA,,Cultural Resource Management,,Nov-09,Dec-09,"NCE: 6/30/2009
1470-0530-CCA     $13,006.79              1470-LAND-CZY  $38,000        1470-4FWS-454 $73,995.21                                     **NCE 06/30/08, NCE 12/31/08",0,,,,,,,,,,,,,,,,,,,,,,,,,Research,1,0,0,,1,Mona Charles,Susan Wells
National Park Service (NPS),2006,8430060008,NAU-216,,Northern Arizona University (NAU),PEFO,Milk Snake Inventory and Monitoring at Petrified Forest National Park,Thompson,Patricia,Parnell,Rod,2006-02-03 00:00,2008-09-30 00:00,Natural,"$22,128.00 ","$3,872.00 ","$26,000.00 ","$26,000.00 ",,,H1200040002,8430-0640-NYS,CSE35SE,,,,NYS,,Natural Resource Management,Final Report,,,Looks line no final reports were ever received for this project. IMR Contracting closed it on March 2011.,0,2006-01-10 00:00,,,Change in PI from Rod Parnell to David Ostergren,2008-05-14 00:00,,,Project period extended to 9/30/2008.,2008-07-15 00:00,,,Change in PI from David Ostergren to Ron Hiebert,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Rod Parnell,Patricia Thompson
National Park Service (NPS),2005,7380050008,FLC-002,,Fort Lewis College (FLC),AZRU,Hydrology Study and Mitigation Plan,Brown,Gary,White,Scott,2005-08-01 00:00,2007-09-28 00:00,Natural,,,"$8,545.00 ","$8,545.00 ",,3,1200040002,7380-0101-RYY,,,,,RYY,,,Final Report,,,2/22/07 Progress report dated feb 21 07 received.,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Scott White,Gary Brown
National Park Service (NPS),2006,159006G073,NAU-215,,Northern Arizona University (NAU),ZION,Zion NP - Recreation Impact Inventory Time #4 and Pre/Post Season Test,Neilsen,Kezia,Foti,Pam,2006-05-01 00:00,2007-03-30 00:00,Social,,,"$5,876.00 ","$5,876.00 ",,,H1200040002,1590-8023-N8B,,,,,N8B,,Fee Demo 80%,Final Report,,,"I'm just beginning this project in Spring, 06. The report should come in early 2007.
Pam",0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Pamela Foti,Kezia Neilsen
National Park Service (NPS),2005,,CSUCP-102,,Colorado State University (CSU),COLM,Catalog Butterfly and Moth Specimens Year 1 of 2,Claussen,Lisa,Opler,Paul,,2011-06-01 00:00,Interdisciplinary,,,"$13,426.00 ","$13,426.00 ",,5,,,,,,,RYY,,,,Mar-12,Mar-12,3/8/06 Progress Report,1,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Paul Opler,Lisa Claussen
National Park Service (NPS),2005,,HU-005,,Dixie State University (DSU),GUMO,Warriors Archaeology Year 3,Jones,A. Trinkle,King,Elenor,2005-09-24 00:00,,cultural,,,"$9,000.00 ","$9,000.00 ",,,,,,,,,RYY,,,,N/A DSCESU,,Desert SW CESU,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Elenor King,Trinkle Jones
National Park Service (NPS),2003,2370030147,CSU-063,CSU-057,Washington Support Office (WASO),NPS,Inventory & Monitoring Natural Resources Status & Trends,Nelson,Lisa,Loftis,Jim,2003-07-01 00:00,2004-09-30 00:00,Natural,,,"$51,000.00 ","$51,000.00 ",,,2380-99-001,"2370-0001-NII
2301-3126-NNZ",,2005-09-30 00:00,,,,,"2370-0001-NII 31,000            23013126NNZ 20,000",I&M Database Mgmt. Plan,11/07/2005,12/01/2005,"FINAL REPORT APPLIES TO CSU-057/063/074, WASO TO 04-02",0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Jim Loftis,Lisa Nelson
National Park Service (NPS),2003,2370030169,CSU-068,CSU-059,Washington Support Office (WASO),NRPC,Guidance & Technical Support to NRPC,Whatley,Mike,Loftis,Jim,2003-05-01 00:00,2004-09-30 00:00,Natural,,,"$12,000.00 ","$12,000.00 ",,,2380-99-001,2370-0001-NDY,,,,,NDY,,2370-0001-NDY,Final Report,11/14/2005,12/01/2005,,0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Jim Loftis,Mike Whatley
National Park Service (NPS),2003,2370030197,CSU-077,,Washington Support Office (WASO),NRPC,Guidance & Technical Support to NRPC,Tucker,Marianne,Loftis,Jim,2003-01-01 00:00,2004-09-30 00:00,Natural,,,"$65,000.00 ","$65,000.00 ",,,2380-99-001,"2340-0002-NYZ
 2370-0001-NDY",,,,,"NYZ
NDY",,"2340-0002-NYZ 45,000          23700001NDY 20,000",Multiple Databases Mgmt.,11/14/2006,11/18/2005,,0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Jim Loftis,Marianne Tucker
National Park Service (NPS),2004,,2004-20,Nov-00,Washington Support Office (WASO),BRMD,Veterinary Diagnostics for Wildlife Species,Wild,Margaret,Gould,Daniel H.,2004-08-01 00:00,2006-09-30 00:00,Natural,,,"$56,400.00 ","$56,400.00 ",,,,CA 2380-99-001,,,,,,,,Collaborative investigation of NPS wildlife health,"10/21/2005
10/27/2006","12/1/2005
11/3/2006",Progress report received and submitted Dec 2009.,0,,,,,,,,,,,,,,,,,,,,,,,,,Educational,0,0,0,,1,Daniel H. Gould,Margaret Wild
National Park Service (NPS),2005,2380050089,CSU-104,Jul-04,Washington Support Office (WASO),ROMO,Tools to Increase Translocation Success of Colorado River Cutthroat Trout,Tilmont,Jim,Fauschr,Kurt,2005-03-01 00:00,2006-03-31 00:00,Natural,,,"$10,000.00 ","$10,000.00 ",,5,1200-04-0002,2380-0005-NWZ,,,,,,,Water Resource Division Fisheries 2380-0005-NWZ,Final Report,5/02/2006,11/3/2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,Kurt Fausch,Jim Tilmant
United States Department of Defense (DOD),2014,,W9132T-14-2-0031,,Colorado State University (CSU),,Assessment and Quantification of Training and Land Management Practices on Military Installations,,,Barber,Lee,2014-09-29 00:00,2015-12-29 00:00,Interdisciplinary,"$165,933.00 ",$0.00 ,"$165,933.00 ","$165,933.00 ","$165,933.00 ",0,,W9132T-14-2-0031,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,0,,0,,0,Lee Barber,Heidi Howard & Niels Svendsen
Bureau of Land Management (BLM),2014,,L14AC00358,,Northern Arizona University (NAU),"San Juan Cty, UT","BLM UT Special Status Bird Survey Along the San Juan River, San Juan County, UT",,,Johnson,Matt,2014-09-10 00:00,2016-04-03 00:00,Natural,"$80,000.00 ",$0.00 ,"$80,000.00 ","$80,000.00 ","$80,000.00 ",0,,L14AC00358,CPRS - 1002582,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,0,,0,,0,Matt Johnson,Mandy Scott
United States Geological Survey (USGS),2014,,G14AC00430,,Northern Arizona University (NAU),,2015 Biennial Conference of Science and Management on the Colorado Plateau,,,Cobb,Neil,2014-09-15 00:00,2017-08-30 00:00,Interdisciplinary,"$15,000.00 ",$0.00 ,"$15,000.00 ","$15,000.00 ","$15,000.00 ",0,,G14AC00430,MPC 1002598,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Educational,0,,0,,0,Neil Cobb,
Army Corps of Engineers (ARMY COE),2014,,W9126G-14-2-SOI-0080,,Northern Arizona University (NAU),,"Study of Military Impacts on Arthropod and Herptofauna Communities through Pitfall Trapping for Dugway Proving Ground, Utah",,,Cobb,Neil,2014-09-30 00:00,2015-09-29 00:00,Natural,"$22,500.00 ",$0.00 ,"$22,500.00 ","$22,500.00 ","$22,500.00 ",0,,W9126G-14-2-SOI-0080,MPC - 1002600,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,2,0,,0,Neil Cobb,Robert Knight
Bureau of Land Management (BLM),2014,,L14AC00308,,Northern Arizona University (NAU),,Biocrust Restoration Project in Colorado,,,Bowker,Matt,2014-08-29 00:00,2019-08-28 00:00,Natural,"$20,000.00 ",$0.00 ,"$20,000.00 ","$50,000.00 ","$20,000.00 ",0,,L14AC00308,FOR 1002613,,,,,,,,,,,0,2015-04-23 00:00,"$30,000.00 ",$0.00 ,Addl funding,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,0,,0,,0,Matthew Bowker,Carol Dawson
United States Department of Defense (DOD),2014,,N62473-14-2-0007,,Northern Arizona University (NAU),,Mexican Spotted Owl Survey,,,Johnson,Matthew,2014-09-26 00:00,2016-09-25 00:00,Natural,"$8,497.00 ",$0.00 ,"$8,497.00 ","$8,497.00 ","$8,497.00 ",0,,N62473-14-2-0007,CPRS 1002616,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,0,,0,,0,Matthew Johnson,Robert Lovich
National Park Service (NPS),2004,2380402411,Nov-04,,Washington Support Office (WASO),North America,Line Drawings of Grasses for Two Volumes of Flora of North America,Rittenhouse,Bruce,Barkworth,Mary,2004-06-01 00:00,2005-09-01 00:00,Natural,,,"$10,000.00 ","$10,000.00 ",,,,,,,,,NYP,,,Final Report,,5/15/2006,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,1,Mary Barkworth,Bruce Rittenhouse
Bureau of Reclamation (BOR),2014,,06-S150607,,Northern Arizona University (NAU),,Fire-smart southwestern riparian landscape management and restoration of native biodiversity in view of species of conservation concern and the impacts of tamarisk beetles.,,,Johnson,Matthew,2014-09-09 00:00,2016-09-30 00:00,Natural,"$23,140.00 ",$0.00 ,"$23,140.00 ","$23,140.00 ","$23,140.00 ",0,,06-S150607,CPR 1002618,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,0,,0,,0,Matthew Johnson,Genevieve Johnson
United States Geological Survey (USGS),2013,,G13AC00370,,Northern Arizona University (NAU),CO Rover,Long Term Weather Data in the Colorado River Ecosystem,,,Elder,Diana,2013-09-01 00:00,2015-06-30 00:00,Natural,"$15,445.00 ",$0.00 ,"$15,445.00 ","$15,445.00 ","$15,445.00 ",0,,G13AC00370,ENV 1002257,,,,,,,,,,,0,2014-12-02 00:00,$0.00 ,$0.00 ,NCE,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,2,0,"$2,013.00 ",0,Diana Elder,Helen Fairley
United States Geological Survey (USGS),2010,,G10AC00077,,Northern Arizona University (NAU),,Basic Operations of the Colorado Plateau Research Station,,,Grabe,William,2012-10-01 00:00,2015-08-24 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$80,053.00 ","$783,387.00 ",$0.00 ,0,,G10AC00077,CPRS 1000636,,,,,,,,,,,0,,$0.00 ,$0.00 ,,2015-02-09 00:00,$0.00 ,$0.00 ,Mod #13,,"$80,053.00 ",$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,2015-02-09 00:00,$0.00 ,$0.00 ,MOD#14 Realoc,,0,,0,,0,William Grabe,Barbara Ralston
National Park Service (NPS),2001,,NNAD-01,,Navajo Nation Archeology Department (NNAD),WACA,ArchaeologicaI Inventory Survey,Remley,Al,Warburton,Miranda,2001-09-01 00:00,2002-10-01 00:00,Interdisciplinary,,,"$88,558.00 ","$88,558.00 ",,,,,,,,,,,,,2004-02-07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Miranda Warburton,Al Remley
National Park Service (NPS),2002,,NNAD-03,NNAD-01,Navajo Nation Archeology Department (NNAD),WACA,Archaeological Inventory Survey,Remley,Al,Warburton,Miranda,2002-09-01 00:00,2003-10-01 00:00,Interdisciplinary,,,"$45,999.00 ","$45,999.00 ",,,,,,,,,,,,,2004-02-07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Miranda Warburton,Al Remley
National Park Service (NPS),2001,,CSU-027,,Colorado State University (CSU),MEVE,Population Status Survey for Schmoll's Milkvetch,Towle,Linda,Anderson,David,2001-05-01 00:00,2004-06-30 00:00,Natural,,,"$9,859.00 ","$9,859.00 ",,,,,,,,,,,,Final Report,3/29/2002,3/29/2002,04/02/2002 Summary of Year 1 Results,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,David Anderson,Linda Towle
National Park Service (NPS),1999,,CSU-008,,Colorado State University (CSU),ROMO,Model-Based Assessment of Aspen Responses to Elk Herbivory,Visty,Judy,Hobbs,N. Thompson,1999-10-01 00:00,1999-12-01 00:00,Natural,,,"$7,674.00 ","$7,674.00 ",,,,,,,,,,,,Final Report,2/8/2000,5/12/2005,,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,N. Thompson Hobbs,Judy Visty
National Park Service (NPS),2000,,CSU-011,,Colorado State University (CSU),ROMO,Investigating Constraints & Opportunities for Riparian Willow,Visty,Judy,Cooper,David J.,2000-04-01 00:00,2002-05-01 00:00,Natural,,,"$83,725.00 ","$83,725.00 ",,,,,,,,,,,,Final Report,3/31/07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Research,0,0,0,,1,David Cooper,Judy Visty
National Park Service (NPS),2000,,CSU-013,,Colorado State University (CSU),ROMO,Historic Structures Condition Inventory,Visty,Judy,Fiege,Mark,2000-06-01 00:00,2000-09-01 00:00,Cultural,,,"$6,302.00 ","$6,302.00 ",,,,,,,,,,,,Final Report,3/31/07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Technical Assistance,0,0,0,,1,Mark Fiege,Judy Visty
